interview_date,child_age_years,child_birthday,EC6,EC7,EC8,EC9,EC10,EC11,EC12,EC13,EC14,EC15
3/10/2019,3,12/31/2015,2,2,2,1,2,1,1,1,2,2
3/10/2019,4,10/20/2014,2,2,2,1,2,1,1,1,2,2
3/10/2019,4,3/20/2014,2,2,2,1,1,1,1,1,1,1
3/11/2019,3,9/24/2015,2,2,1,1,1,1,2,1,1,2
3/12/2019,3,1/24/2016,2,1,1,1,2,1,1,1,1,2
3/14/2019,4,5/31/2014,2,1,1,1,1,1,1,1,1,1
3/14/2019,3,10/17/2015,2,2,2,1,2,1,1,1,2,1
3/13/2019,4,8/4/2014,2,2,2,1,2,1,1,1,2,1
3/15/2019,3,7/26/2015,2,2,2,1,1,1,1,1,1,1
3/13/2019,4,5/14/2014,1,2,2,1,1,1,2,1,2,1
3/14/2019,3,5/15/2015,2,2,2,1,2,1,1,1,2,2
3/14/2019,3,7/18/2015,2,2,2,1,2,1,1,1,2,1
3/13/2019,4,10/6/2014,2,2,2,1,2,2,2,1,2,1
3/13/2019,4,10/6/2014,2,2,2,1,1,1,2,1,2,1
3/22/2019,3,7/31/2015,1,1,1,1,2,1,1,1,1,2
3/23/2019,4,6/29/2014,1,2,1,1,2,1,1,1,1,2
3/23/2019,4,2/6/2015,1,1,1,1,2,1,1,1,1,2
3/22/2019,3,10/7/2015,2,2,2,1,2,1,1,1,2,1
4/11/2019,3,1/28/2016,2,2,2,1,2,1,1,2,1,2
3/24/2019,4,2/16/2015,2,2,2,1,2,1,1,1,2,1
3/14/2019,3,2/28/2016,2,2,2,1,2,1,1,1,2,1
3/14/2019,3,12/19/2015,2,2,2,1,2,1,1,1,1,2
3/15/2019,4,10/19/2014,2,2,2,1,2,1,1,1,2,1
3/12/2019,3,8/29/2015,2,2,2,1,1,1,1,1,1,2
3/12/2019,3,5/11/2015,2,2,2,1,2,1,1,1,2,1
3/12/2019,3,11/1/2015,2,2,2,1,2,1,1,1,2,2
3/13/2019,3,4/1/2015,1,2,1,1,2,1,1,1,1,2
3/13/2019,3,3/17/2015,1,2,2,1,1,1,1,1,2,2
3/12/2019,4,11/7/2014,1,1,1,1,2,1,1,2,1,2
3/12/2019,4,3/13/2014,2,2,2,1,2,1,1,1,1,1
3/6/2019,3,8/14/2015,2,2,2,1,2,1,1,1,1,2
3/6/2019,4,11/29/2014,2,2,1,1,1,1,1,1,2,2
3/6/2019,4,11/4/2014,2,2,2,1,2,1,1,1,1,2
3/9/2019,4,4/8/2014,2,2,2,1,2,1,1,1,1,1
3/6/2019,3,1/24/2016,2,2,2,1,2,1,1,1,1,1
3/6/2019,3,10/3/2015,2,2,2,1,1,1,1,1,2,1
2/11/2019,4,12/27/2014,2,2,2,1,2,1,1,1,1,2
2/11/2019,4,3/3/2014,2,2,2,1,1,1,1,1,2,1
2/11/2019,3,7/26/2015,2,2,2,1,2,1,1,1,2,2
2/12/2019,4,7/23/2014,2,2,2,1,2,1,1,1,2,1
2/12/2019,4,12/19/2014,2,2,2,1,1,1,1,1,1,1
2/11/2019,4,12/4/2014,2,2,2,1,1,1,1,1,2,2
2/11/2019,3,11/20/2015,2,2,2,1,1,1,1,1,2,1
2/11/2019,4,11/21/2014,2,2,1,1,1,1,1,1,1,1
2/16/2019,4,10/13/2014,2,2,2,1,2,1,1,1,1,2
2/15/2019,4,8/25/2014,1,1,1,1,2,1,1,1,2,1
2/15/2019,3,9/15/2015,2,2,2,1,2,1,1,1,1,1
2/15/2019,4,4/25/2014,2,2,2,1,2,1,1,1,2,2
2/16/2019,4,10/25/2014,2,1,2,1,2,1,1,1,2,2
2/15/2019,4,10/25/2014,2,1,2,1,2,1,1,1,2,2
3/5/2019,3,7/5/2015,2,2,2,1,1,1,1,1,2,1
3/5/2019,3,3/10/2015,2,2,2,1,1,1,1,1,1,1
3/6/2019,3,9/12/2015,2,2,2,1,1,1,1,1,1,1
3/6/2019,3,10/4/2015,2,2,2,1,2,1,1,1,2,1
3/5/2019,4,6/12/2014,2,2,2,1,2,1,1,1,1,2
3/5/2019,3,7/12/2015,2,2,2,1,2,1,1,1,1,2
2/17/2019,3,8/8/2015,2,2,2,1,1,1,1,1,1,1
2/21/2019,4,5/29/2014,2,2,1,1,1,1,1,1,2,2
2/17/2019,3,5/29/2015,1,1,2,1,2,1,1,1,1,1
2/17/2019,4,8/19/2014,2,1,2,1,2,1,1,1,1,2
2/16/2019,3,11/12/2015,2,2,2,2,1,2,1,1,2,1
2/16/2019,4,4/6/2014,1,1,1,1,2,1,2,1,2,2
2/17/2019,4,12/13/2014,2,2,2,1,2,1,1,1,1,2
2/16/2019,3,7/21/2015,2,2,2,2,2,1,1,1,1,1
2/22/2019,3,6/30/2015,2,2,2,1,2,1,1,1,1,2
2/23/2019,3,3/13/2015,2,2,2,1,1,1,1,1,1,2
2/23/2019,3,1/16/2016,2,2,2,1,1,1,1,1,2,1
2/23/2019,3,6/2/2015,2,2,1,1,1,1,1,1,2,1
2/23/2019,4,2/20/2015,2,2,2,1,2,1,1,1,1,1
2/24/2019,3,12/18/2015,2,2,1,1,2,1,1,1,2,1
3/1/2019,3,10/4/2015,2,2,2,1,1,1,1,1,1,1
3/5/2019,3,4/23/2015,2,2,2,1,1,1,1,1,1,2
3/24/2019,4,3/11/2015,1,2,1,1,1,1,1,1,1,1
3/3/2019,4,12/7/2014,1,1,2,1,1,1,1,1,1,1
3/2/2019,3,7/26/2015,2,2,2,1,1,1,1,1,2,1
3/5/2019,4,12/15/2014,2,1,1,1,2,1,1,1,2,1
3/2/2019,4,5/13/2014,2,2,2,1,2,1,1,1,2,2
3/3/2019,3,12/8/2015,2,2,2,1,2,1,1,1,1,1
3/4/2019,3,12/29/2015,1,2,2,1,2,1,1,1,1,1
3/3/2019,4,9/19/2014,2,2,1,1,1,1,1,1,1,1
3/3/2019,4,5/22/2014,2,2,1,1,2,1,1,1,2,1
3/3/2019,3,4/11/2015,2,2,1,1,1,1,1,1,1,1
3/3/2019,3,11/20/2015,2,2,2,1,1,1,1,1,2,1
3/10/2019,4,8/10/2014,2,2,2,1,1,1,1,2,1,1
3/11/2019,3,2/23/2016,2,2,2,1,2,1,1,1,1,2
3/11/2019,3,12/30/2015,2,2,2,1,2,1,1,1,2,1
3/9/2019,3,5/13/2015,2,2,2,1,2,1,1,1,2,1
3/11/2019,4,3/5/2015,2,2,2,1,2,1,1,1,2,2
3/11/2019,4,3/5/2015,2,2,2,1,1,1,1,1,1,1
3/21/2019,3,10/6/2015,2,2,2,1,2,1,1,1,2,1
3/22/2019,3,6/28/2015,1,1,2,1,2,1,1,1,1,2
3/17/2019,3,7/18/2015,2,2,2,1,2,1,1,1,1,1
3/21/2019,3,1/30/2016,2,2,2,1,2,1,1,1,1,1
3/6/2019,4,5/20/2014,1,1,1,1,1,1,1,1,1,1
3/6/2019,4,NA,1,1,1,1,2,1,1,1,2,2
3/6/2019,3,8/8/2015,1,2,2,1,2,1,1,1,2,1
3/9/2019,4,12/26/2014,2,2,2,1,1,1,1,1,1,1
3/9/2019,3,1/9/2016,2,2,2,1,2,1,1,1,1,2
3/6/2019,4,10/14/2014,1,2,2,1,1,1,2,1,1,1
3/26/2019,3,9/9/2015,1,2,1,1,1,1,2,1,2,2
3/13/2019,4,4/11/2014,1,1,1,1,2,1,1,1,2,2
3/12/2019,4,10/13/2014,2,2,2,1,2,1,1,1,2,2
3/12/2019,4,4/28/2014,2,1,2,1,2,1,1,1,2,2
3/12/2019,3,7/29/2015,2,2,2,1,2,1,1,1,2,2
3/16/2019,4,12/10/2014,1,2,2,2,1,1,1,1,2,2
3/16/2019,3,8/27/2015,1,1,1,2,2,1,1,1,2,2
3/12/2019,3,8/5/2015,2,2,2,1,2,1,1,1,1,1
3/12/2019,3,6/20/2015,2,2,2,1,1,1,2,1,2,2
3/28/2019,4,7/10/2014,2,2,2,1,2,2,2,1,2,1
3/29/2019,4,5/10/2014,1,2,1,1,2,1,1,1,2,2
3/28/2019,3,9/12/2015,1,2,1,1,2,1,1,1,2,1
3/28/2019,3,9/6/2015,2,2,1,1,1,1,1,1,1,2
3/28/2019,4,11/3/2014,2,2,2,1,2,1,1,1,1,2
